Fortune  Rank (2018),Company Name,Ticker Symbol,Fortune Rank (2017),Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
200,Aramark,ARMK,192,"$14,604",1.3%,$373.9,29.9%,"$11,006","$9,725","215,000",Eric J. Foss,"Chairman, President & Chief Executive Officer",Business Services,Diversified Outsourcing Services,Philadelphia,http://www.aramark.com,24,http://fortune.com/fortune500/aramark/
201,Applied Materials,AMAT,265,"$14,537",34.3%,"$3,434.0",99.5%,"$19,419","$58,429","18,400",Gary E. Dickerson,"President, Chief Executive Officer & Director",Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",http://www.appliedmaterials.com,23,http://fortune.com/fortune500/applied-materials/
202,Waste Management,WM,201,"$14,485",6.4%,"$1,949.0",64.9%,"$21,829","$36,372","42,300",James C. Fish Jr.,"President, Chief Executive Officer & Director",Business Services,Waste Management,Houston,http://www.wm.com,20,http://fortune.com/fortune500/waste-management/
203,DISH Network,DISH,186,"$14,391",-4.7%,"$2,098.7",44.8%,"$29,774","$17,682","17,000",W. Erik Carlson,"President, Chief Executive Officer & Director",Telecommunications,Telecommunications,"Englewood, Colo.",http://www.dish.com,17,http://fortune.com/fortune500/dish-network/
204,Illinois Tool Works,ITW,202,"$14,314",5.3%,"$1,687.0",-17.1%,"$16,780","$53,142","50,000",E. Scott Santi,"Chairman, President & Chief Executive Officer",Industrials,Industrial Machinery,"Glenview, Ill.",http://www.itw.com,24,http://fortune.com/fortune500/illinois-tool-works/
205,Lincoln National,LNC,207,"$14,257",7.0%,"$2,079.0",74.4%,"$281,763","$15,946","9,047",Dennis R. Glass,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (stock)","Radnor, Pa.",http://www.lfg.com,24,http://fortune.com/fortune500/lincoln-national/
206,HollyFrontier,HFC,274,"$14,251",35.3%,$805.4,,"$10,692","$8,650","3,522",George J. Damiris,"President, Chief Executive Officer & Director",Energy,Petroleum Refining,Dallas,http://www.hollyfrontier.com,11,http://fortune.com/fortune500/hollyfrontier/
207,CBRE Group,CBRE,214,"$14,210",8.7%,$691.5,20.9%,"$11,484","$16,042","80,000",Robert E. Sulentic,"President, Chief Executive Officer & Director",Financials,Real estate,Los Angeles,http://www.cbre.com,11,http://fortune.com/fortune500/cbre-group/
208,Textron,TXT,200,"$14,198",3.0%,$307.0,-68.1%,"$15,340","$15,293","37,000",Scott C. Donnelly,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Providence, R.I.",http://www.textron.com,24,http://fortune.com/fortune500/textron/
209,Ross Stores,ROST,219,"$14,135",9.9%,"$1,362.8",21.9%,"$5,722","$29,800","82,700",Barbara Rentler,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Apparel,"Dublin, Calif.",http://www.rossstores.com,16,http://fortune.com/fortune500/ross-stores/
210,Principal Financial,PFG,227,"$14,093",13.7%,"$2,310.4",75.5%,"$253,941","$17,643","15,378",Daniel J. Houston,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","Des Moines, Iowa",http://www.principal.com,24,http://fortune.com/fortune500/principal-financial/
211,D.R. Horton,DHI,232,"$14,091",15.9%,"$1,038.4",17.2%,"$12,185","$16,480","7,735",David V. Auld,"President, Chief Executive Officer & Director",Engineering & Construction,Homebuilders,"Arlington, Texas",http://www.drhorton.com,16,http://fortune.com/fortune500/d-r-horton/
212,Marsh & McLennan,MMC,210,"$14,024",6.2%,"$1,492.0",-15.6%,"$20,429","$41,924","64,000",Daniel S. Glaser,"President, Chief Executive Officer & Director",Financials,Diversified Financials,New York City,http://www.mmc.com,24,http://fortune.com/fortune500/marsh-mclennan/
213,Devon Energy,DVN,231,"$13,949",14.4%,$898.0,,"$30,241","$16,725","3,414",David A. Hager,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",Oklahoma City,http://www.devonenergy.com,17,http://fortune.com/fortune500/devon-energy/
214,AES,AES,194,"$13,850",-3.1%,"$-1,161.0",,"$33,112","$7,510","10,500",Andres R. Gluski,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,"Arlington, Va.",http://www.aes.com,18,http://fortune.com/fortune500/aes/
215,Ecolab,ECL,211,"$13,838",5.2%,"$1,508.4",22.7%,"$19,962","$39,524","48,400",Douglas M. Baker Jr.,Chairman & Chief Executive Officer,Chemicals,Chemicals,"St. Paul, Minn.",http://www.ecolab.com,16,http://fortune.com/fortune500/ecolab/
216,Land O’Lakes,,209,"$13,740",3.8%,$314.2,28.3%,"$9,509",,"10,000",Christopher J. Policinski,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Arden Hills, Minn.",http://www.landolakesinc.com,16,http://fortune.com/fortune500/land-olakes/
217,Loews,L,213,"$13,735",4.8%,"$1,164.0",78.0%,"$79,586","$16,134","18,100",James S. Tisch,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.loews.com,24,http://fortune.com/fortune500/loews/
218,Kinder Morgan,KMI,215,"$13,705",5.0%,$183.0,-74.2%,"$79,055","$33,223","10,897",Steven J. Kean,"President, Chief Executive Officer & Director",Energy,Pipelines,Houston,http://www.kindermorgan.com,15,http://fortune.com/fortune500/kinder-morgan/
219,FirstEnergy,FE,196,"$13,627",-3.7%,"$-1,724.0",,"$42,257","$16,175","15,617",Charles E. Jones,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,"Akron, Ohio",http://www.firstenergycorp.com,23,http://fortune.com/fortune500/firstenergy/
220,Occidental Petroleum,OXY,278,"$13,274",27.7%,"$1,311.0",,"$42,026","$49,738","11,000",Vicki A. Hollub,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",Houston,http://www.oxy.com,24,http://fortune.com/fortune500/occidental-petroleum/
221,Viacom,VIAB,224,"$13,263",6.2%,"$1,874.0",30.3%,"$23,698","$12,919","11,200",Robert M. Bakish,"President, Chief Executive Officer & Director",Media,Entertainment,New York City,http://www.viacom.com,13,http://fortune.com/fortune500/viacom/
222,PayPal Holdings,PYPL,264,"$13,094",20.8%,"$1,795.0",28.1%,"$40,774","$91,056","18,700",Daniel H. Schulman,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"San Jose, Calif.",http://www.paypal.com,3,http://fortune.com/fortune500/paypal-holdings/
223,NGL Energy Partners,NGL,237,"$13,022",10.9%,$137.0,,"$6,320","$1,332","2,700",H. Michael Krimbill,Chief Executive Officer & Director,Energy,Energy,"Tulsa, Okla.",http://www.nglenergypartners.com,4,http://fortune.com/fortune500/ngl-energy-partners/
224,Celgene,CELG,254,"$13,003",15.8%,"$2,940.0",47.1%,"$30,141","$67,102","7,467",Mark J. Alles,Chairman & Chief Executive Officer,Health Care,Pharmaceuticals,"Summit, N.J.",http://www.celgene.com,7,http://fortune.com/fortune500/celgene/
225,Arconic,ARNC,228,"$12,960",4.6%,$-74.0,,"$18,718","$11,124","41,500",Charles P. Blankenship,Chairman & Chief Executive Officer,Aerospace & Defense,Aerospace and Defense,New York City,http://www.arconic.com,24,http://fortune.com/fortune500/arconic/
226,Kellogg,K,216,"$12,923",-0.7%,"$1,269.0",82.9%,"$16,350","$22,532","32,944",Steven A. Cahillane,"Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco",Food Consumer Products,"Battle Creek, Mich.",http://www.kelloggcompany.com,24,http://fortune.com/fortune500/kellogg/
227,Las Vegas Sands,LVS,249,"$12,882",12.9%,"$2,806.0",68.0%,"$20,687","$56,721","50,500",Sheldon G. Adelson,Chairman & Chief Executive Officer,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,http://www.sands.com,9,http://fortune.com/fortune500/las-vegas-sands/
228,Stanley Black & Decker,SWK,250,"$12,747",11.7%,"$1,226.0",27.0%,"$19,080","$23,610","57,765",James M. Loree,"President, Chief Executive Officer & Director",Household Products,"Home Equipment, Furnishings","New Britain, Conn.",http://www.stanleyblackanddecker.com,11,http://fortune.com/fortune500/stanley-black-decker/
229,Booking Holdings,BKNG,268,"$12,681",18.0%,"$2,340.8",9.6%,"$25,451","$100,459","22,900",Glenn D. Fogel,"President, Chief Executive Officer & Director",Technology,Internet Services and Retailing,"Norwalk, Conn.",http://www.bookingholdings.com,6,http://fortune.com/fortune500/booking-holdings/
230,Lennar,LEN,260,"$12,646",15.5%,$810.5,-11.1%,"$18,745","$18,738","9,111",Richard Beckwitt,Chief Executive Officer & Director,Engineering & Construction,Homebuilders,Miami,http://www.lennar.com,14,http://fortune.com/fortune500/lennar/
231,L Brands,LB,220,"$12,632",0.5%,$983.0,-15.1%,"$8,149","$10,655","59,200",Leslie H. Wexner,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Apparel,"Columbus, Ohio",http://www.lb.com,24,http://fortune.com/fortune500/l-brands/
232,DTE Energy,DTE,272,"$12,607",18.6%,"$1,134.0",30.6%,"$33,767","$18,760","10,200",Gerard M. Anderson,Chairman & Chief Executive Officer,Energy,Utilities: Gas and Electric,Detroit,http://www.dteenergy.com,24,http://fortune.com/fortune500/dte-energy/
233,Dominion Energy,D,238,"$12,586",7.2%,"$2,999.0",41.3%,"$76,585","$45,344","16,200",Thomas F. Farrell II,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Richmond, Va.q",www.dominionenergy.com,24,http://fortune.com/fortune500/dominion-energy/
234,Reinsurance Group of America,RGA,246,"$12,516",8.6%,"$1,822.2",159.8%,"$60,515","$9,930","2,640",Anna Manning,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (stock)","Chesterfield, Mo.",http://www.rgare.com,9,http://fortune.com/fortune500/reinsurance-group-of-america/
235,J.C. Penney,JCP,221,"$12,506",-0.3%,$-116.0,"-11,700.0%","$8,413",$943,"98,000",Jeffrey A. Davis/Joseph M. McFarland/Therace M. Risch,Chairman & Chief Executive Officer,Retailing,General Merchandisers,"Plano, Texas",http://www.jcpenney.com,24,http://fortune.com/fortune500/j-c-penney/
236,Mastercard,MA,267,"$12,497",16.0%,"$3,915.0",-3.5%,"$21,329","$184,161","13,400",Ajay Banga,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Purchase, N.Y.",http://www.mastercard.com,10,http://fortune.com/fortune500/mastercard/
237,BlackRock,BLK,255,"$12,491",12.0%,"$4,970.0",56.7%,"$220,217","$87,065","13,900",Laurence D. Fink,Chairman & Chief Executive Officer,Financials,Securities,New York City,http://www.blackrock.com,11,http://fortune.com/fortune500/blackrock/
238,Henry Schein,HSIC,243,"$12,462",7.7%,$406.3,-19.8%,"$7,811","$10,330","22,000",Stanley M. Bergman,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Health Care,"Melville, N.Y.",http://www.henryschein.com,15,http://fortune.com/fortune500/henry-schein/
239,Guardian Life Ins. Co. of America,,218,"$12,455",-3.6%,$455.3,72.5%,"$75,038",,"9,283",Deanna M. Mulligan,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (Mutual)",New York City,http://www.guardianlife.com,24,http://fortune.com/fortune500/guardian-life-ins-co-of-america/
